epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6313,1.429,1.5447,1.08925,0.61445,0.49431,0.53637,0.28619,1.28927,0.99876,1.04678,0.00047506,0.00047506,0.00047506
2,164.593,1.32046,1.06757,1.07417,0.62077,0.47521,0.52671,0.2912,1.2936,0.93714,1.05824,0.000932555,0.000932555,0.000932555
3,240.799,1.2941,0.96106,1.06913,0.62001,0.49485,0.54208,0.30765,1.23835,0.88635,1.05583,0.00137119,0.00137119,0.00137119
4,316.467,1.26377,0.89866,1.05621,0.62506,0.51236,0.55518,0.31113,1.22908,0.86196,1.0561,0.00134412,0.00134412,0.00134412
5,391.812,1.2183,0.85219,1.04207,0.69054,0.54101,0.60405,0.35058,1.15394,0.8084,1.02994,0.00131582,0.00131582,0.00131582
6,467.874,1.18539,0.81688,1.02762,0.70151,0.56379,0.634,0.36155,1.14237,0.77019,1.02636,0.00128753,0.00128753,0.00128753
7,544.282,1.16337,0.80176,1.02287,0.6477,0.58596,0.62909,0.36418,1.13374,0.77614,1.01685,0.00125923,0.00125923,0.00125923
8,619.411,1.14793,0.77879,1.01371,0.71567,0.57801,0.64549,0.37899,1.0866,0.72593,1.00439,0.00123094,0.00123094,0.00123094
9,695.18,1.1338,0.76391,1.00956,0.69933,0.60704,0.6633,0.38442,1.09276,0.73738,1.00226,0.00120265,0.00120265,0.00120265
10,771.085,1.1241,0.75579,1.00227,0.69117,0.60432,0.66713,0.39421,1.10046,0.7254,1.00452,0.00117435,0.00117435,0.00117435
11,846.573,1.10511,0.73445,0.99658,0.72046,0.60823,0.68601,0.41256,1.07159,0.69941,0.99134,0.00114606,0.00114606,0.00114606
12,923.223,1.09764,0.72389,0.9946,0.73948,0.59377,0.68418,0.40726,1.0588,0.6944,0.99574,0.00111776,0.00111776,0.00111776
13,999.235,1.08222,0.71491,0.99013,0.75715,0.61262,0.69001,0.40585,1.05874,0.6879,0.9955,0.00108947,0.00108947,0.00108947
14,1075.29,1.0688,0.70341,0.98503,0.76446,0.64789,0.71516,0.42619,1.03611,0.66425,0.98551,0.00106118,0.00106118,0.00106118
15,1151.31,1.05511,0.69301,0.98266,0.79451,0.62326,0.72207,0.4397,1.02019,0.67138,0.97573,0.00103288,0.00103288,0.00103288
