epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.521,1.48101,1.63953,1.10573,0.59783,0.51857,0.54295,0.28866,1.35857,1.02665,1.04796,0.000285036,0.000285036,0.000285036
2,161.161,1.32949,1.10023,1.06966,0.60682,0.49768,0.52264,0.28342,1.32661,0.96078,1.05993,0.000559476,0.000559476,0.000559476
3,236.023,1.30645,0.98826,1.07224,0.61821,0.50162,0.54082,0.29894,1.27421,0.8955,1.03803,0.000822542,0.000822542,0.000822542
4,309.457,1.28421,0.92543,1.06541,0.6144,0.56312,0.58649,0.30809,1.34776,0.88801,1.06706,0.00107423,0.00107423,0.00107423
5,383.028,1.24703,0.87706,1.05755,0.65287,0.54505,0.59434,0.32703,1.24808,0.82101,1.03696,0.00131455,0.00131455,0.00131455
6,457.09,1.21889,0.84411,1.04356,0.6915,0.54208,0.60248,0.32555,1.25932,0.82131,1.05064,0.00128681,0.00128681,0.00128681
7,529.975,1.19962,0.8325,1.04234,0.6834,0.55901,0.60442,0.35171,1.15431,0.77363,1.02195,0.00125838,0.00125838,0.00125838
8,602.135,1.18067,0.80726,1.02961,0.69876,0.56846,0.63152,0.363,1.16498,0.75673,1.0138,0.00122994,0.00122994,0.00122994
9,674.059,1.17055,0.79023,1.02889,0.72548,0.5921,0.66583,0.38362,1.15274,0.74377,1.01264,0.0012015,0.0012015,0.0012015
10,749.077,1.15624,0.77667,1.01979,0.71163,0.59283,0.66637,0.37718,1.16731,0.74276,1.01929,0.00117307,0.00117307,0.00117307
11,823.098,1.13574,0.75857,1.01246,0.72248,0.60739,0.67868,0.38608,1.20277,0.7474,1.02208,0.00114463,0.00114463,0.00114463
12,897.83,1.12252,0.74442,1.00954,0.7669,0.63202,0.71315,0.41404,1.08533,0.69585,0.99321,0.00111619,0.00111619,0.00111619
13,973.26,1.10444,0.73455,1.00279,0.7539,0.60899,0.69551,0.40472,1.13823,0.71607,0.99526,0.00108775,0.00108775,0.00108775
14,1048.82,1.09575,0.72468,0.99929,0.76997,0.63392,0.71649,0.42332,1.09649,0.68553,0.98467,0.00105932,0.00105932,0.00105932
15,1123.08,1.07857,0.71342,0.99522,0.78054,0.63726,0.71558,0.42943,1.06156,0.68366,0.98123,0.00103088,0.00103088,0.00103088
16,1200.09,1.07475,0.70372,0.98934,0.79204,0.65257,0.73795,0.4419,1.04633,0.64883,0.97097,0.00100244,0.00100244,0.00100244
17,1274.7,1.06146,0.69104,0.98457,0.80883,0.63102,0.73168,0.44213,1.02938,0.65692,0.97314,0.000974006,0.000974006,0.000974006
18,1350.36,1.05559,0.68278,0.9817,0.81537,0.66139,0.75528,0.46033,1.02777,0.6301,0.96877,0.000945569,0.000945569,0.000945569
19,1425.35,1.0469,0.67952,0.98174,0.78936,0.67643,0.75118,0.45304,1.0416,0.64026,0.96707,0.000917132,0.000917132,0.000917132
20,1500.94,1.036,0.67171,0.97795,0.84012,0.65747,0.75376,0.45904,1.03738,0.63927,0.96207,0.000888695,0.000888695,0.000888695
21,1576.33,1.0265,0.66514,0.9735,0.81487,0.67575,0.76301,0.45666,1.01614,0.62842,0.95917,0.000860258,0.000860258,0.000860258
22,1650.29,1.01365,0.65012,0.96814,0.8109,0.67448,0.76032,0.46729,1.02405,0.61941,0.96004,0.000831821,0.000831821,0.000831821
23,1724.53,1.01079,0.65014,0.96638,0.83782,0.67529,0.77254,0.47342,0.98665,0.60764,0.94884,0.000803384,0.000803384,0.000803384
24,1798.4,1.00153,0.63984,0.96118,0.8199,0.6885,0.76874,0.46882,1.01325,0.60512,0.95871,0.000774947,0.000774947,0.000774947
25,1871.17,0.99328,0.63448,0.95953,0.81768,0.6911,0.78046,0.48652,0.98122,0.59214,0.94465,0.00074651,0.00074651,0.00074651
26,1944.68,0.98489,0.62894,0.95825,0.827,0.70419,0.78595,0.49547,0.97022,0.58921,0.94624,0.000718072,0.000718072,0.000718072
