epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2781,1.55823,1.70833,1.15703,0.51705,0.44106,0.45382,0.2173,1.56242,1.14978,1.15265,0.00047506,0.00047506,0.00047506
2,160.033,1.43631,1.18961,1.1366,0.57252,0.47554,0.50221,0.2536,1.43915,0.99168,1.10553,0.000932555,0.000932555,0.000932555
3,233.815,1.40545,1.06442,1.12767,0.55902,0.48891,0.51209,0.25907,1.46046,0.98071,1.11247,0.00137119,0.00137119,0.00137119
4,305.811,1.36194,0.99222,1.11499,0.57697,0.48006,0.50494,0.27242,1.3061,0.92497,1.08401,0.00134412,0.00134412,0.00134412
5,377.965,1.31405,0.93673,1.09831,0.58326,0.499,0.52309,0.27437,1.44062,0.90638,1.10147,0.00131582,0.00131582,0.00131582
6,450.275,1.28215,0.90662,1.08308,0.7005,0.47548,0.5577,0.30969,1.26344,0.86582,1.05417,0.00128753,0.00128753,0.00128753
7,522.016,1.26776,0.88389,1.07707,0.67276,0.51678,0.57008,0.28687,1.42959,0.88422,1.09389,0.00125923,0.00125923,0.00125923
8,595.774,1.23474,0.85635,1.06313,0.62569,0.55724,0.59717,0.33296,1.24979,0.80702,1.03898,0.00123094,0.00123094,0.00123094
9,670.29,1.21764,0.84335,1.05246,0.6683,0.53721,0.59078,0.32816,1.23878,0.80823,1.04331,0.00120265,0.00120265,0.00120265
10,743.753,1.2066,0.8263,1.05463,0.71943,0.55596,0.64188,0.35501,1.19596,0.79394,1.02734,0.00117435,0.00117435,0.00117435
11,817.929,1.18316,0.8079,1.04423,0.69012,0.58746,0.64476,0.35187,1.19443,0.78086,1.02654,0.00114606,0.00114606,0.00114606
12,891.694,1.163,0.79674,1.03663,0.71782,0.57615,0.6482,0.36628,1.15508,0.74855,1.01584,0.00111776,0.00111776,0.00111776
13,965.65,1.15692,0.7826,1.03163,0.69379,0.58072,0.64059,0.36783,1.12796,0.73079,1.00739,0.00108947,0.00108947,0.00108947
14,1039.66,1.14448,0.77265,1.02571,0.7405,0.57185,0.6506,0.36793,1.1493,0.73378,1.01034,0.00106118,0.00106118,0.00106118
15,1113.85,1.13255,0.76854,1.02362,0.75032,0.59781,0.67803,0.38969,1.11564,0.71617,0.99493,0.00103288,0.00103288,0.00103288
16,1188.64,1.12396,0.76091,1.01615,0.73374,0.60945,0.68449,0.39639,1.13693,0.71795,1.00029,0.00100459,0.00100459,0.00100459
17,1263.04,1.11216,0.7463,1.01338,0.73704,0.62906,0.69081,0.39991,1.1029,0.7015,0.99515,0.000976293,0.000976293,0.000976293
18,1337.75,1.10689,0.73649,1.0062,0.76586,0.62911,0.69862,0.40636,1.09761,0.69196,0.99465,0.000947999,0.000947999,0.000947999
19,1411.59,1.09252,0.72851,1.0058,0.75467,0.64001,0.70548,0.41553,1.08995,0.6858,0.98471,0.000919704,0.000919704,0.000919704
20,1484.07,1.08377,0.71834,1.00244,0.74022,0.65215,0.71898,0.41854,1.08719,0.67466,0.98648,0.00089141,0.00089141,0.00089141
21,1556.08,1.07479,0.7095,1.00178,0.75889,0.62336,0.70452,0.41429,1.06321,0.67907,0.98113,0.000863116,0.000863116,0.000863116
22,1627.44,1.06503,0.7023,0.99346,0.77426,0.63239,0.71982,0.43154,1.0762,0.67211,0.9849,0.000834822,0.000834822,0.000834822
23,1699.66,1.06292,0.70033,0.99379,0.78823,0.65427,0.72687,0.43817,1.06064,0.66036,0.97628,0.000806528,0.000806528,0.000806528
24,1771.02,1.05234,0.68958,0.99055,0.81016,0.66037,0.74831,0.43869,1.09565,0.65216,0.98622,0.000778233,0.000778233,0.000778233
25,1842.39,1.04,0.68117,0.98454,0.79039,0.65111,0.73279,0.44658,1.03082,0.65026,0.96888,0.000749939,0.000749939,0.000749939
26,1914.03,1.03785,0.67804,0.9875,0.79373,0.66457,0.75406,0.4507,1.03655,0.6347,0.97313,0.000721645,0.000721645,0.000721645
27,1984.88,1.0264,0.67024,0.97998,0.80252,0.66017,0.74895,0.45271,1.01893,0.63327,0.96677,0.000693351,0.000693351,0.000693351
28,2056.86,1.01696,0.66243,0.9757,0.80952,0.6705,0.758,0.47084,1.00584,0.62549,0.9606,0.000665057,0.000665057,0.000665057
29,2130.1,1.00581,0.65606,0.97351,0.79003,0.66698,0.75529,0.47483,0.98213,0.61584,0.95734,0.000636762,0.000636762,0.000636762
30,2206.49,1.0063,0.65257,0.97189,0.77869,0.6894,0.76881,0.48169,0.99222,0.61053,0.9542,0.000608468,0.000608468,0.000608468
31,2282.83,0.99584,0.64167,0.96882,0.79526,0.67593,0.76329,0.47874,1.00256,0.61199,0.955,0.000580174,0.000580174,0.000580174
32,2358.79,0.99058,0.64164,0.96823,0.84309,0.6616,0.77342,0.48453,0.98373,0.60029,0.95735,0.00055188,0.00055188,0.00055188
33,2434.73,0.9802,0.63327,0.96267,0.81176,0.69785,0.77918,0.47846,0.96611,0.59419,0.94559,0.000523586,0.000523586,0.000523586
34,2511.08,0.9672,0.62371,0.96144,0.81015,0.6894,0.77808,0.48693,0.95731,0.5912,0.94351,0.000495291,0.000495291,0.000495291
35,2586.43,0.96164,0.61877,0.95527,0.82096,0.68634,0.78001,0.49482,0.94254,0.58275,0.93783,0.000466997,0.000466997,0.000466997
36,2662.3,0.96083,0.61869,0.95723,0.8267,0.69718,0.79548,0.49003,0.96921,0.58598,0.93954,0.000438703,0.000438703,0.000438703
37,2737.41,0.95668,0.60976,0.95474,0.85311,0.70217,0.79814,0.50265,0.94514,0.57972,0.93653,0.000410409,0.000410409,0.000410409
38,2813.7,0.95117,0.60777,0.95287,0.83323,0.69314,0.7998,0.50557,0.94444,0.57261,0.93514,0.000382115,0.000382115,0.000382115
39,2889.43,0.93515,0.59233,0.94734,0.8455,0.69773,0.80306,0.51231,0.93824,0.56849,0.9304,0.00035382,0.00035382,0.00035382
40,2964.91,0.92941,0.59018,0.94637,0.82642,0.71726,0.80304,0.51348,0.92013,0.56288,0.92911,0.000325526,0.000325526,0.000325526
41,3042.14,0.89077,0.56184,0.93211,0.84643,0.69437,0.80439,0.50689,0.92354,0.55594,0.92747,0.000297232,0.000297232,0.000297232
42,3116.37,0.88665,0.55664,0.92833,0.85546,0.7138,0.8113,0.51499,0.93004,0.55413,0.93061,0.000268938,0.000268938,0.000268938
43,3190.53,0.87379,0.5485,0.92593,0.84478,0.71437,0.80735,0.51857,0.91499,0.55271,0.92839,0.000240644,0.000240644,0.000240644
44,3265.52,0.86865,0.54348,0.92402,0.85267,0.71638,0.81423,0.52074,0.92502,0.5532,0.92741,0.000212349,0.000212349,0.000212349
45,3339.59,0.86058,0.5385,0.91976,0.84562,0.71876,0.81365,0.51377,0.92878,0.55283,0.92646,0.000184055,0.000184055,0.000184055
46,3414.41,0.85359,0.53658,0.9188,0.84911,0.72971,0.81859,0.51632,0.92435,0.54752,0.92448,0.000155761,0.000155761,0.000155761
47,3488.34,0.84491,0.53026,0.91668,0.85171,0.72453,0.81698,0.52389,0.9238,0.54388,0.92325,0.000127467,0.000127467,0.000127467
48,3563.29,0.83919,0.52556,0.91341,0.8622,0.72468,0.82231,0.52651,0.92478,0.54127,0.9228,9.91726e-05,9.91726e-05,9.91726e-05
49,3638.01,0.83436,0.52287,0.91204,0.86316,0.72108,0.82401,0.52257,0.91904,0.5389,0.92169,7.08784e-05,7.08784e-05,7.08784e-05
50,3712.43,0.82731,0.51741,0.91071,0.86492,0.72365,0.82699,0.52721,0.91596,0.53678,0.92064,4.25842e-05,4.25842e-05,4.25842e-05
