epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.855,1.48506,4.55658,1.11959,0.62583,0.51382,0.53429,0.27352,1.39341,3.06754,1.08228,0.00047506,0.00047506,0.00047506
2,206.025,1.38211,3.22756,1.10072,0.6205,0.49732,0.52912,0.27106,1.48658,3.00278,1.12242,0.000932555,0.000932555,0.000932555
3,299.438,1.35779,2.92195,1.09915,0.62944,0.50686,0.54371,0.29293,1.34854,2.77099,1.08049,0.00137119,0.00137119,0.00137119
4,394.725,1.3234,2.72278,1.08629,0.63165,0.53327,0.59014,0.3106,1.34746,2.53586,1.07445,0.00134412,0.00134412,0.00134412
5,489.982,1.26946,2.55775,1.06787,0.67859,0.56804,0.62117,0.33629,1.28733,2.43909,1.04754,0.00131582,0.00131582,0.00131582
6,585.074,1.24217,2.47326,1.05446,0.66656,0.57575,0.62285,0.34942,1.23634,2.39272,1.04528,0.00128753,0.00128753,0.00128753
7,681.04,1.22377,2.42132,1.0526,0.72415,0.58177,0.65538,0.36394,1.2126,2.27916,1.03916,0.00125923,0.00125923,0.00125923
8,781.995,1.20923,2.35878,1.03999,0.72667,0.58809,0.65073,0.37387,1.16737,2.233,1.03089,0.00123094,0.00123094,0.00123094
9,879.514,1.1896,2.30549,1.03715,0.74554,0.62858,0.69489,0.38758,1.21612,2.19133,1.03423,0.00120265,0.00120265,0.00120265
10,976.431,1.1773,2.27585,1.02795,0.72657,0.61782,0.68787,0.38834,1.16434,2.16624,1.01441,0.00117435,0.00117435,0.00117435
11,1077.7,1.16547,2.22721,1.02212,0.79265,0.62802,0.72062,0.38882,1.28775,2.17323,1.04041,0.00114606,0.00114606,0.00114606
12,1177.41,1.15405,2.1891,1.0197,0.80212,0.64315,0.72493,0.41614,1.1089,2.04663,1.00407,0.00111776,0.00111776,0.00111776
