epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0011,1.58886,5.21537,1.16392,0.55648,0.49074,0.49542,0.2375,1.59015,3.21902,1.11279,0.000285036,0.000285036,0.000285036
2,155.854,1.41778,3.54959,1.11795,0.61909,0.50868,0.5411,0.25457,1.62012,3.01591,1.14171,0.000559476,0.000559476,0.000559476
3,226.833,1.40828,3.16566,1.12504,0.62316,0.51395,0.54958,0.29559,1.32498,2.70646,1.07934,0.000822542,0.000822542,0.000822542
4,297.946,1.38277,2.95568,1.12135,0.63225,0.48432,0.52109,0.27845,1.35447,2.80218,1.09422,0.00107423,0.00107423,0.00107423
5,368.611,1.34207,2.80859,1.10807,0.61162,0.53349,0.56575,0.28889,1.54459,2.79329,1.11449,0.00131455,0.00131455,0.00131455
6,439.335,1.31861,2.71634,1.09491,0.67076,0.53732,0.59744,0.32375,1.27164,2.61577,1.05936,0.00128681,0.00128681,0.00128681
7,509.238,1.30615,2.65245,1.09323,0.69132,0.54881,0.62234,0.32648,1.35663,2.49009,1.07465,0.00125838,0.00125838,0.00125838
8,579.765,1.27871,2.57394,1.08158,0.69102,0.56455,0.6375,0.34959,1.25061,2.43946,1.04489,0.00122994,0.00122994,0.00122994
9,650.445,1.25772,2.50255,1.06869,0.70312,0.59555,0.65344,0.36088,1.23254,2.333,1.03114,0.0012015,0.0012015,0.0012015
10,720.648,1.2391,2.45606,1.06535,0.72006,0.58233,0.64436,0.32598,1.36161,2.44536,1.07829,0.00117307,0.00117307,0.00117307
11,791.311,1.2291,2.40645,1.05886,0.77731,0.59115,0.68182,0.35721,1.2817,2.30396,1.0476,0.00114463,0.00114463,0.00114463
12,861.047,1.20147,2.36606,1.04847,0.71832,0.61767,0.67719,0.37595,1.16177,2.28177,1.02956,0.00111619,0.00111619,0.00111619
13,931.292,1.18581,2.30388,1.04027,0.74242,0.63028,0.6889,0.36941,1.24384,2.19421,1.02748,0.00108775,0.00108775,0.00108775
14,1001.6,1.18552,2.28235,1.04039,0.74261,0.60463,0.69254,0.3831,1.18995,2.19022,1.02203,0.00105932,0.00105932,0.00105932
15,1071.56,1.1694,2.26441,1.0368,0.75276,0.64422,0.71299,0.3935,1.18829,2.1399,1.01679,0.00103088,0.00103088,0.00103088
16,1141.86,1.16444,2.24719,1.03188,0.76614,0.6518,0.71686,0.39483,1.1768,2.08621,1.01205,0.00100244,0.00100244,0.00100244
17,1212.08,1.15284,2.2029,1.02667,0.78187,0.64082,0.73149,0.4158,1.15864,2.06936,1.00674,0.000974006,0.000974006,0.000974006
18,1282.13,1.1461,2.17,1.02145,0.79439,0.65847,0.73418,0.41209,1.16205,2.07927,1.01279,0.000945569,0.000945569,0.000945569
19,1351.91,1.12746,2.14902,1.01625,0.79541,0.67601,0.75112,0.43334,1.12273,2.01943,0.99324,0.000917132,0.000917132,0.000917132
20,1422.3,1.12006,2.11512,1.01439,0.7838,0.66089,0.74586,0.4346,1.09745,2.00142,0.99375,0.000888695,0.000888695,0.000888695
21,1492.52,1.10754,2.08787,1.01238,0.77904,0.65927,0.73541,0.43555,1.07755,1.96094,0.98599,0.000860258,0.000860258,0.000860258
22,1562.68,1.09843,2.05948,1.00442,0.78043,0.67139,0.75587,0.44853,1.0854,1.95636,0.9907,0.000831821,0.000831821,0.000831821
23,1632.74,1.09314,2.04779,1.00458,0.79407,0.69714,0.77491,0.44798,1.12346,1.9293,0.98932,0.000803384,0.000803384,0.000803384
24,1703.5,1.08777,2.01986,1.00075,0.81495,0.669,0.76565,0.44636,1.13121,1.91889,0.98988,0.000774947,0.000774947,0.000774947
25,1774.03,1.07318,1.98751,0.99466,0.80082,0.66932,0.76393,0.45226,1.09945,1.91396,0.98482,0.00074651,0.00074651,0.00074651
26,1844.05,1.0684,1.98967,0.99817,0.81398,0.68827,0.77489,0.45891,1.07271,1.85988,0.97505,0.000718072,0.000718072,0.000718072
27,1916.33,1.05804,1.95485,0.98916,0.82941,0.69579,0.78672,0.47584,1.04562,1.84071,0.96746,0.000689635,0.000689635,0.000689635
28,1987.45,1.04742,1.93256,0.98573,0.83934,0.698,0.79489,0.48203,1.03359,1.82072,0.96666,0.000661198,0.000661198,0.000661198
29,2058.98,1.04025,1.91361,0.98576,0.81701,0.69889,0.79219,0.476,1.06564,1.81583,0.97451,0.000632761,0.000632761,0.000632761
30,2130.36,1.04037,1.90814,0.98396,0.83055,0.71304,0.80449,0.47836,1.08454,1.81088,0.97446,0.000604324,0.000604324,0.000604324
31,2203.89,1.03085,1.87827,0.98094,0.812,0.70813,0.80067,0.48862,1.03045,1.78387,0.96705,0.000575887,0.000575887,0.000575887
32,2277.29,1.01721,1.86319,0.97732,0.81138,0.73809,0.81196,0.49313,1.00861,1.74276,0.95885,0.00054745,0.00054745,0.00054745
33,2351.82,1.01475,1.84293,0.97402,0.82416,0.70989,0.80885,0.49762,1.01449,1.76113,0.95713,0.000519013,0.000519013,0.000519013
34,2426.84,1.0035,1.82038,0.974,0.817,0.71553,0.81152,0.49994,1.04672,1.73867,0.96002,0.000490576,0.000490576,0.000490576
35,2500.64,0.9933,1.80421,0.96628,0.83354,0.71742,0.81077,0.50614,0.98588,1.71317,0.94932,0.000462139,0.000462139,0.000462139
36,2574.95,0.99259,1.79624,0.96753,0.81041,0.72619,0.81314,0.50536,0.99711,1.71351,0.95005,0.000433702,0.000433702,0.000433702
37,2649.13,0.9913,1.77946,0.96509,0.82885,0.72958,0.82001,0.50484,0.99871,1.6926,0.94699,0.000405264,0.000405264,0.000405264
38,2722.12,0.98258,1.76712,0.96266,0.86574,0.71266,0.82098,0.51689,0.95784,1.66234,0.93934,0.000376827,0.000376827,0.000376827
39,2796.22,0.96217,1.7192,0.95594,0.85051,0.71883,0.82769,0.52517,0.96214,1.64823,0.93451,0.00034839,0.00034839,0.00034839
40,2868.88,0.95893,1.71132,0.95614,0.85491,0.72567,0.82886,0.52408,0.95612,1.64198,0.939,0.000319953,0.000319953,0.000319953
41,2942.19,0.92284,1.6268,0.94338,0.84168,0.7409,0.82815,0.51717,0.98355,1.65266,0.93904,0.000291516,0.000291516,0.000291516
42,3013.33,0.91837,1.61704,0.93759,0.87224,0.73194,0.83635,0.52789,0.9791,1.63287,0.93655,0.000263079,0.000263079,0.000263079
43,3084.48,0.90199,1.58752,0.93419,0.87653,0.73383,0.83924,0.52234,0.988,1.63284,0.93773,0.000234642,0.000234642,0.000234642
44,3155.29,0.89313,1.5687,0.93186,0.85328,0.75764,0.8422,0.52401,0.97756,1.61768,0.93933,0.000206205,0.000206205,0.000206205
45,3226.58,0.89061,1.55981,0.9289,0.8699,0.74658,0.83871,0.52279,0.98305,1.62182,0.93669,0.000177768,0.000177768,0.000177768
46,3297.76,0.88182,1.54803,0.9281,0.87587,0.74281,0.84173,0.52655,0.99423,1.62168,0.93761,0.00014933,0.00014933,0.00014933
47,3367.19,0.87009,1.52666,0.92458,0.86065,0.75352,0.84203,0.53311,0.97851,1.60559,0.93537,0.000120893,0.000120893,0.000120893
48,3437.21,0.86518,1.51936,0.92135,0.85581,0.76419,0.84445,0.53677,0.98671,1.59814,0.93608,9.24563e-05,9.24563e-05,9.24563e-05
49,3507.73,0.86142,1.50484,0.92079,0.87114,0.75618,0.84688,0.53439,0.99703,1.59829,0.93705,6.40192e-05,6.40192e-05,6.40192e-05
50,3577.34,0.8533,1.48707,0.9188,0.87093,0.75738,0.84686,0.5356,0.98385,1.58799,0.93347,3.55821e-05,3.55821e-05,3.55821e-05
