epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.394,3.39338,3.52957,3.03331,0.7736,0.0983,0.0767,0.02735,2.65851,2.17144,2.18462,0.00047506,0.00047506,0.00047506
2,156.72,2.26626,1.81845,1.78241,0.60962,0.25662,0.24262,0.11345,1.90906,1.45178,1.58981,0.000932555,0.000932555,0.000932555
3,228.214,1.972,1.48902,1.55854,0.62791,0.28998,0.28441,0.13694,1.78004,1.30905,1.48448,0.00137119,0.00137119,0.00137119
4,301.718,1.82327,1.348,1.45443,0.379,0.35108,0.31924,0.1583,1.66562,1.24524,1.41586,0.00134412,0.00134412,0.00134412
5,374.674,1.68119,1.22715,1.37566,0.69135,0.3162,0.34043,0.16808,1.63704,1.18014,1.37851,0.00131582,0.00131582,0.00131582
6,448.287,1.60771,1.15533,1.32546,0.40665,0.38983,0.38344,0.20135,1.50572,1.09044,1.309,0.00128753,0.00128753,0.00128753
7,521.431,1.54275,1.10439,1.29688,0.48854,0.38866,0.40383,0.21367,1.43831,1.00276,1.27203,0.00125923,0.00125923,0.00125923
8,593.823,1.49819,1.06064,1.26347,0.54458,0.3882,0.4284,0.23218,1.37868,0.96536,1.24582,0.00123094,0.00123094,0.00123094
9,666.906,1.45461,1.02503,1.24244,0.4848,0.45017,0.43771,0.23817,1.38346,0.9556,1.24095,0.00120265,0.00120265,0.00120265
10,740.509,1.4138,0.99586,1.21551,0.49797,0.45447,0.45055,0.2489,1.31378,0.92085,1.20082,0.00117435,0.00117435,0.00117435
11,815.647,1.37899,0.95904,1.19696,0.52367,0.45672,0.47497,0.26487,1.29179,0.89676,1.18792,0.00114606,0.00114606,0.00114606
12,891.756,1.35371,0.93538,1.18455,0.55715,0.46615,0.48336,0.26175,1.27557,0.883,1.18306,0.00111776,0.00111776,0.00111776
13,966.708,1.32974,0.92122,1.1735,0.57411,0.50076,0.50797,0.28011,1.26568,0.86597,1.16935,0.00108947,0.00108947,0.00108947
14,1041,1.30306,0.90066,1.15667,0.61594,0.49077,0.52894,0.29401,1.23237,0.8382,1.15756,0.00106118,0.00106118,0.00106118
15,1113.81,1.28417,0.88152,1.15039,0.59554,0.50471,0.5232,0.29634,1.23033,0.83484,1.14961,0.00103288,0.00103288,0.00103288
16,1186.22,1.26964,0.87,1.13898,0.63959,0.50758,0.53916,0.298,1.23193,0.81643,1.15667,0.00100459,0.00100459,0.00100459
17,1258.38,1.25494,0.85443,1.13317,0.60131,0.52047,0.55429,0.31124,1.19792,0.80083,1.12996,0.000976293,0.000976293,0.000976293
18,1331.14,1.24632,0.84494,1.12609,0.62427,0.52334,0.56418,0.32355,1.16064,0.76948,1.11282,0.000947999,0.000947999,0.000947999
19,1403.19,1.23503,0.84031,1.12139,0.62658,0.53892,0.57349,0.33499,1.13568,0.77001,1.10761,0.000919704,0.000919704,0.000919704
20,1475.77,1.21206,0.82502,1.11132,0.67424,0.52463,0.5777,0.33261,1.14717,0.77207,1.10758,0.00089141,0.00089141,0.00089141
21,1548.68,1.20854,0.81539,1.10268,0.6269,0.54379,0.57894,0.33445,1.14221,0.75461,1.10317,0.000863116,0.000863116,0.000863116
22,1622.58,1.18963,0.79871,1.09735,0.64795,0.54527,0.589,0.33759,1.12945,0.74351,1.09712,0.000834822,0.000834822,0.000834822
23,1697.58,1.17974,0.79218,1.09207,0.67576,0.54143,0.60339,0.35293,1.1277,0.74052,1.09661,0.000806528,0.000806528,0.000806528
24,1771.85,1.17361,0.78428,1.08546,0.68958,0.57275,0.62372,0.35523,1.10789,0.72683,1.08421,0.000778233,0.000778233,0.000778233
25,1845.4,1.16268,0.77755,1.08259,0.67972,0.55947,0.61694,0.36724,1.0948,0.71836,1.08226,0.000749939,0.000749939,0.000749939
26,1919.45,1.15935,0.77217,1.08242,0.7173,0.56804,0.63528,0.37095,1.09146,0.70994,1.07874,0.000721645,0.000721645,0.000721645
27,1992.77,1.14711,0.7648,1.0754,0.69755,0.56789,0.63255,0.37074,1.07495,0.70819,1.07058,0.000693351,0.000693351,0.000693351
28,2067.35,1.13974,0.76156,1.0723,0.69204,0.56425,0.62274,0.37169,1.07832,0.71217,1.06952,0.000665057,0.000665057,0.000665057
29,2140.31,1.14453,0.76519,1.06823,0.67482,0.57248,0.6284,0.37108,1.07714,0.70767,1.06667,0.000636762,0.000636762,0.000636762
30,2214.39,1.13863,0.76078,1.06763,0.73451,0.55433,0.64587,0.38374,1.07721,0.7059,1.06269,0.000608468,0.000608468,0.000608468
31,2290.03,1.1269,0.75036,1.05784,0.71646,0.59178,0.66201,0.39325,1.05657,0.6909,1.05356,0.000580174,0.000580174,0.000580174
32,2363.71,1.11723,0.74328,1.05239,0.73158,0.59891,0.66835,0.40127,1.04567,0.6838,1.04703,0.00055188,0.00055188,0.00055188
33,2435.51,1.11501,0.7416,1.04951,0.69629,0.60511,0.67147,0.40011,1.043,0.67977,1.04603,0.000523586,0.000523586,0.000523586
34,2507.16,1.10402,0.73636,1.04602,0.74077,0.59419,0.67267,0.40325,1.03628,0.67479,1.04248,0.000495291,0.000495291,0.000495291
35,2578.92,1.09195,0.72478,1.03637,0.71674,0.59368,0.67461,0.40791,1.02377,0.66765,1.03397,0.000466997,0.000466997,0.000466997
36,2650.96,1.09199,0.72408,1.04147,0.74252,0.60823,0.68992,0.41326,1.02284,0.66261,1.03633,0.000438703,0.000438703,0.000438703
