epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.346,1.26636,1.1006,1.07678,0.70054,0.54041,0.60558,0.33423,1.20853,0.8128,1.08779,0.00047506,0.00047506,0.00047506
2,223.533,1.23811,0.86043,1.0778,0.65155,0.55142,0.57385,0.31427,1.22991,0.87904,1.10592,0.000932555,0.000932555,0.000932555
3,329.549,1.221,0.84663,1.07146,0.70377,0.57253,0.63334,0.35671,1.16374,0.8118,1.07593,0.00137119,0.00137119,0.00137119
4,432.036,1.19165,0.81073,1.05532,0.70051,0.56868,0.6275,0.34957,1.17695,0.7767,1.07792,0.00134412,0.00134412,0.00134412
5,534.755,1.14259,0.77234,1.03759,0.71636,0.57297,0.62989,0.37481,1.0996,0.71624,1.04855,0.00131582,0.00131582,0.00131582
6,638.006,1.10552,0.73724,1.01933,0.71946,0.60493,0.66329,0.3861,1.08661,0.72651,1.03909,0.00128753,0.00128753,0.00128753
7,740.833,1.08262,0.71832,1.01333,0.73051,0.63391,0.67757,0.40101,1.07623,0.67797,1.03021,0.00125923,0.00125923,0.00125923
8,843.531,1.07094,0.70374,1.00468,0.7581,0.64844,0.70009,0.41388,1.03351,0.65607,1.02151,0.00123094,0.00123094,0.00123094
9,946.662,1.05418,0.6844,1.00088,0.79258,0.64662,0.73321,0.43526,1.05566,0.67031,1.02707,0.00120265,0.00120265,0.00120265
10,1049.53,1.04023,0.67347,0.99291,0.72692,0.64462,0.71227,0.43758,1.0088,0.63292,1.00849,0.00117435,0.00117435,0.00117435
11,1152.6,1.02353,0.65623,0.98546,0.81622,0.66924,0.74802,0.45408,0.99977,0.63427,1.00293,0.00114606,0.00114606,0.00114606
12,1255.69,1.01181,0.64679,0.98333,0.77856,0.66071,0.73826,0.45386,0.97125,0.61638,0.99118,0.00111776,0.00111776,0.00111776
13,1358.55,0.99514,0.63841,0.97804,0.81317,0.67528,0.75985,0.47172,0.97009,0.60764,0.99216,0.00108947,0.00108947,0.00108947
14,1461.53,0.98333,0.63068,0.97251,0.80672,0.67512,0.76065,0.47325,0.95656,0.59064,0.98809,0.00106118,0.00106118,0.00106118
15,1564.48,0.96208,0.61158,0.96637,0.76914,0.70576,0.77239,0.48829,0.94377,0.58978,0.97931,0.00103288,0.00103288,0.00103288
16,1667.75,0.95859,0.60529,0.96322,0.82895,0.68519,0.78576,0.49721,0.9394,0.57165,0.97741,0.00100459,0.00100459,0.00100459
17,1770.58,0.94587,0.59666,0.95994,0.81391,0.67079,0.76173,0.48432,0.93397,0.5744,0.97309,0.000976293,0.000976293,0.000976293
18,1873.38,0.93815,0.58671,0.95493,0.83997,0.70922,0.79769,0.49942,0.91704,0.55297,0.96958,0.000947999,0.000947999,0.000947999
19,1976.51,0.92959,0.58307,0.95238,0.81384,0.70871,0.79673,0.51394,0.89655,0.55006,0.96542,0.000919704,0.000919704,0.000919704
20,2079.53,0.92072,0.577,0.94952,0.79252,0.72331,0.79646,0.50869,0.90041,0.55642,0.96198,0.00089141,0.00089141,0.00089141
21,2182.52,0.90931,0.56641,0.94343,0.84088,0.72731,0.81248,0.52697,0.882,0.5352,0.95786,0.000863116,0.000863116,0.000863116
22,2285.84,0.89545,0.55443,0.94084,0.82262,0.68332,0.78967,0.51343,0.88093,0.54809,0.95988,0.000834822,0.000834822,0.000834822
